nohup: ignoring input
[SEG] 警告：/home/20+22data/contours_geojson/011-012.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/009-010.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/009.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/009-010.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/009-010.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/011-012.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/013-014.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 跳过 20S04320_003-004：mask文件已存在（/home/20+22data/segmentations/20S04320_003-004_mask.npy）
[SEG] 跳过 20S04474_005-006：mask文件已存在（/home/20+22data/segmentations/20S04474_005-006_mask.npy）
[SEG] 跳过 20S04616_005-006：mask文件已存在（/home/20+22data/segmentations/20S04616_005-006_mask.npy）
[SEG] 跳过 20S04619_005-006：mask文件已存在（/home/20+22data/segmentations/20S04619_005-006_mask.npy）
[SEG] 跳过 20S04892_013-014：mask文件已存在（/home/20+22data/segmentations/20S04892_013-014_mask.npy）
[SEG] 跳过 20S05516_001-002：mask文件已存在（/home/20+22data/segmentations/20S05516_001-002_mask.npy）
[SEG] 跳过 20S05598_003-004：mask文件已存在（/home/20+22data/segmentations/20S05598_003-004_mask.npy）
[SEG] 跳过 20S06617_005-006：mask文件已存在（/home/20+22data/segmentations/20S06617_005-006_mask.npy）
[SEG] 跳过 20S07124_003-004：mask文件已存在（/home/20+22data/segmentations/20S07124_003-004_mask.npy）
[SEG] 跳过 20S07722_003-004：mask文件已存在（/home/20+22data/segmentations/20S07722_003-004_mask.npy）
[SEG] 跳过 20S07755_001-002：mask文件已存在（/home/20+22data/segmentations/20S07755_001-002_mask.npy）
[SEG] 跳过 20S08141_001-002：mask文件已存在（/home/20+22data/segmentations/20S08141_001-002_mask.npy）
[SEG] 跳过 20S08788_007-008：mask文件已存在（/home/20+22data/segmentations/20S08788_007-008_mask.npy）
[SEG] 跳过 20S09012_001-002：mask文件已存在（/home/20+22data/segmentations/20S09012_001-002_mask.npy）
[SEG] 跳过 20S09290_001-002：mask文件已存在（/home/20+22data/segmentations/20S09290_001-002_mask.npy）
[SEG] 跳过 20S09559_007-008：mask文件已存在（/home/20+22data/segmentations/20S09559_007-008_mask.npy）
[SEG] 跳过 20S10992_005-006：mask文件已存在（/home/20+22data/segmentations/20S10992_005-006_mask.npy）
[SEG] 跳过 20S11683_003-004：mask文件已存在（/home/20+22data/segmentations/20S11683_003-004_mask.npy）
[SEG] 跳过 20S11729_007-008：mask文件已存在（/home/20+22data/segmentations/20S11729_007-008_mask.npy）
[SEG] 跳过 20S11894_003-004：mask文件已存在（/home/20+22data/segmentations/20S11894_003-004_mask.npy）
[SEG] 跳过 20S11945_007-008：mask文件已存在（/home/20+22data/segmentations/20S11945_007-008_mask.npy）
[SEG] 跳过 20S12486_005-006：mask文件已存在（/home/20+22data/segmentations/20S12486_005-006_mask.npy）
[SEG] 跳过 20S12744_009-010：mask文件已存在（/home/20+22data/segmentations/20S12744_009-010_mask.npy）
[SEG] 跳过 20S13056_005-006：mask文件已存在（/home/20+22data/segmentations/20S13056_005-006_mask.npy）
[SEG] 跳过 20S13557_011-012：mask文件已存在（/home/20+22data/segmentations/20S13557_011-012_mask.npy）
[SEG] 跳过 20S13594_017-018：mask文件已存在（/home/20+22data/segmentations/20S13594_017-018_mask.npy）
[SEG] 跳过 20S14312_001：mask文件已存在（/home/20+22data/segmentations/20S14312_001_mask.npy）
[SEG] 跳过 20S15273_003-004：mask文件已存在（/home/20+22data/segmentations/20S15273_003-004_mask.npy）
[SEG] 跳过 20S15423_005-006：mask文件已存在（/home/20+22data/segmentations/20S15423_005-006_mask.npy）
[SEG] 跳过 20S15533_001-002：mask文件已存在（/home/20+22data/segmentations/20S15533_001-002_mask.npy）
[SEG] 跳过 20S16512_003：mask文件已存在（/home/20+22data/segmentations/20S16512_003_mask.npy）
[SEG] 跳过 20S16539_005-006：mask文件已存在（/home/20+22data/segmentations/20S16539_005-006_mask.npy）
[SEG] 跳过 20S17445_015-016：mask文件已存在（/home/20+22data/segmentations/20S17445_015-016_mask.npy）
[SEG] 跳过 20S17520_001-002：mask文件已存在（/home/20+22data/segmentations/20S17520_001-002_mask.npy）
[SEG] 跳过 20S17524_001-002：mask文件已存在（/home/20+22data/segmentations/20S17524_001-002_mask.npy）
[SEG] 跳过 20S18741_013-014：mask文件已存在（/home/20+22data/segmentations/20S18741_013-014_mask.npy）
[SEG] 跳过 20S19058_003-004：mask文件已存在（/home/20+22data/segmentations/20S19058_003-004_mask.npy）
[SEG] 跳过 20S19301_005-006：mask文件已存在（/home/20+22data/segmentations/20S19301_005-006_mask.npy）
[SEG] 跳过 20S20392_005-006：mask文件已存在（/home/20+22data/segmentations/20S20392_005-006_mask.npy）
[SEG] 跳过 20S20739_009-010：mask文件已存在（/home/20+22data/segmentations/20S20739_009-010_mask.npy）
[SEG] 跳过 20S21318_011-012：mask文件已存在（/home/20+22data/segmentations/20S21318_011-012_mask.npy）
[SEG] 跳过 20S21370_005-006：mask文件已存在（/home/20+22data/segmentations/20S21370_005-006_mask.npy）
[SEG] 跳过 20S21774_003-004：mask文件已存在（/home/20+22data/segmentations/20S21774_003-004_mask.npy）
[SEG] 跳过 20S21917_003-004：mask文件已存在（/home/20+22data/segmentations/20S21917_003-004_mask.npy）
[SEG] 跳过 20S22061_001-002：mask文件已存在（/home/20+22data/segmentations/20S22061_001-002_mask.npy）
[SEG] 跳过 20S22292_005-006：mask文件已存在（/home/20+22data/segmentations/20S22292_005-006_mask.npy）
[SEG] 跳过 20S22514_011-012：mask文件已存在（/home/20+22data/segmentations/20S22514_011-012_mask.npy）
[SEG] 跳过 20S22611_003-004：mask文件已存在（/home/20+22data/segmentations/20S22611_003-004_mask.npy）
[SEG] 跳过 20S22772_019：mask文件已存在（/home/20+22data/segmentations/20S22772_019_mask.npy）
[SEG] 跳过 20S23219_005-006：mask文件已存在（/home/20+22data/segmentations/20S23219_005-006_mask.npy）
[SEG] 跳过 20S23693_003-004：mask文件已存在（/home/20+22data/segmentations/20S23693_003-004_mask.npy）
[SEG] 跳过 20S23891_001-002：mask文件已存在（/home/20+22data/segmentations/20S23891_001-002_mask.npy）
[SEG] 跳过 20S23965_003-004：mask文件已存在（/home/20+22data/segmentations/20S23965_003-004_mask.npy）
[SEG] 跳过 20S23966_005-006：mask文件已存在（/home/20+22data/segmentations/20S23966_005-006_mask.npy）
[SEG] 跳过 20S25153_003-004：mask文件已存在（/home/20+22data/segmentations/20S25153_003-004_mask.npy）
[SEG] 跳过 20S26135_003-004：mask文件已存在（/home/20+22data/segmentations/20S26135_003-004_mask.npy）
[SEG] 跳过 20S26240_001-002：mask文件已存在（/home/20+22data/segmentations/20S26240_001-002_mask.npy）
[SEG] 跳过 20S26257_019-020：mask文件已存在（/home/20+22data/segmentations/20S26257_019-020_mask.npy）
[SEG] 跳过 20S26662_002：mask文件已存在（/home/20+22data/segmentations/20S26662_002_mask.npy）
[SEG] 跳过 20S26836_003-004：mask文件已存在（/home/20+22data/segmentations/20S26836_003-004_mask.npy）
[SEG] 跳过 20S27379_011-012：mask文件已存在（/home/20+22data/segmentations/20S27379_011-012_mask.npy）
[SEG] 跳过 20S27662_005-006：mask文件已存在（/home/20+22data/segmentations/20S27662_005-006_mask.npy）
[SEG] 跳过 20S27934_003-004：mask文件已存在（/home/20+22data/segmentations/20S27934_003-004_mask.npy）
[SEG] 跳过 22S000433_005：mask文件已存在（/home/20+22data/segmentations/22S000433_005_mask.npy）
[SEG] 跳过 22S000582_009-010：mask文件已存在（/home/20+22data/segmentations/22S000582_009-010_mask.npy）
[SEG] 跳过 22S001466_003：mask文件已存在（/home/20+22data/segmentations/22S001466_003_mask.npy）
[SEG] 跳过 22S001594_001：mask文件已存在（/home/20+22data/segmentations/22S001594_001_mask.npy）
[SEG] 跳过 22S002171_003-004：mask文件已存在（/home/20+22data/segmentations/22S002171_003-004_mask.npy）
[SEG] 跳过 22S002226_003-004：mask文件已存在（/home/20+22data/segmentations/22S002226_003-004_mask.npy）
[SEG] 跳过 22S004376_001-002：mask文件已存在（/home/20+22data/segmentations/22S004376_001-002_mask.npy）
[SEG] 跳过 22S004424_003-004：mask文件已存在（/home/20+22data/segmentations/22S004424_003-004_mask.npy）
[SEG] 跳过 22S004774_003-004：mask文件已存在（/home/20+22data/segmentations/22S004774_003-004_mask.npy）
[SEG] 跳过 22S004955_001-002：mask文件已存在（/home/20+22data/segmentations/22S004955_001-002_mask.npy）
[SEG] 跳过 22S005610_003-004：mask文件已存在（/home/20+22data/segmentations/22S005610_003-004_mask.npy）
[SEG] 跳过 22S006485_009：mask文件已存在（/home/20+22data/segmentations/22S006485_009_mask.npy）
[SEG] 跳过 22S007691_003-004：mask文件已存在（/home/20+22data/segmentations/22S007691_003-004_mask.npy）
[SEG] 跳过 22S007697_007-008：mask文件已存在（/home/20+22data/segmentations/22S007697_007-008_mask.npy）
[SEG] 跳过 22S008099_007-008：mask文件已存在（/home/20+22data/segmentations/22S008099_007-008_mask.npy）
[SEG] 跳过 22S008777_003-004：mask文件已存在（/home/20+22data/segmentations/22S008777_003-004_mask.npy）
[SEG] 跳过 22S009430_001-002：mask文件已存在（/home/20+22data/segmentations/22S009430_001-002_mask.npy）
[SEG] 跳过 22S010229_003-004：mask文件已存在（/home/20+22data/segmentations/22S010229_003-004_mask.npy）
[SEG] 跳过 22S011877_007-008：mask文件已存在（/home/20+22data/segmentations/22S011877_007-008_mask.npy）
[SEG] 跳过 22S013364_001-002：mask文件已存在（/home/20+22data/segmentations/22S013364_001-002_mask.npy）
[SEG] 跳过 22S015444_003-004：mask文件已存在（/home/20+22data/segmentations/22S015444_003-004_mask.npy）
[SEG] 跳过 22S016259_003-004：mask文件已存在（/home/20+22data/segmentations/22S016259_003-004_mask.npy）
[SEG] 跳过 22S017120_005-006：mask文件已存在（/home/20+22data/segmentations/22S017120_005-006_mask.npy）
[SEG] 跳过 22S017577_001-002：mask文件已存在（/home/20+22data/segmentations/22S017577_001-002_mask.npy）
[SEG] 跳过 22S018143_001-002：mask文件已存在（/home/20+22data/segmentations/22S018143_001-002_mask.npy）
[SEG] 跳过 22S020317_001-002：mask文件已存在（/home/20+22data/segmentations/22S020317_001-002_mask.npy）
[SEG] 跳过 22S020581_003-004：mask文件已存在（/home/20+22data/segmentations/22S020581_003-004_mask.npy）
[SEG] 跳过 22S022110_005-006：mask文件已存在（/home/20+22data/segmentations/22S022110_005-006_mask.npy）
[SEG] 跳过 22S022704_007-008：mask文件已存在（/home/20+22data/segmentations/22S022704_007-008_mask.npy）
[SEG] 跳过 22S022819_001-002：mask文件已存在（/home/20+22data/segmentations/22S022819_001-002_mask.npy）
[SEG] 跳过 22S023767_003-004：mask文件已存在（/home/20+22data/segmentations/22S023767_003-004_mask.npy）
[SEG] 跳过 22S024976_001-002：mask文件已存在（/home/20+22data/segmentations/22S024976_001-002_mask.npy）
[SEG] 跳过 22S026028_001-002：mask文件已存在（/home/20+22data/segmentations/22S026028_001-002_mask.npy）
[SEG] 跳过 22S026357_005-006：mask文件已存在（/home/20+22data/segmentations/22S026357_005-006_mask.npy）
[SEG] 跳过 22S026364_009-010：mask文件已存在（/home/20+22data/segmentations/22S026364_009-010_mask.npy）
[SEG] 跳过 22S027104_001-002：mask文件已存在（/home/20+22data/segmentations/22S027104_001-002_mask.npy）
[SEG] 跳过 22S027131_001-002：mask文件已存在（/home/20+22data/segmentations/22S027131_001-002_mask.npy）
[SEG] 跳过 22S027217_001-002：mask文件已存在（/home/20+22data/segmentations/22S027217_001-002_mask.npy）
[SEG] 跳过 22S028721_003-004：mask文件已存在（/home/20+22data/segmentations/22S028721_003-004_mask.npy）
[SEG] 跳过 22S044244_001-002：mask文件已存在（/home/20+22data/segmentations/22S044244_001-002_mask.npy）
[SEG] 跳过 22S044244_003-004：mask文件已存在（/home/20+22data/segmentations/22S044244_003-004_mask.npy）
[SEG] 跳过 22S044244_005-006：mask文件已存在（/home/20+22data/segmentations/22S044244_005-006_mask.npy）
[SEG] 跳过 22S044244_007-008：mask文件已存在（/home/20+22data/segmentations/22S044244_007-008_mask.npy）
[SEG] 跳过 22S044244_009-010：mask文件已存在（/home/20+22data/segmentations/22S044244_009-010_mask.npy）
[SEG] 跳过 22S044244_011-012：mask文件已存在（/home/20+22data/segmentations/22S044244_011-012_mask.npy）
[SEG] 跳过 22S044244_013-014：mask文件已存在（/home/20+22data/segmentations/22S044244_013-014_mask.npy）
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFFetchNormalTag: Warning, ASCII value for tag "Artist" contains null byte in value; value incorrectly truncated during reading due to implementation limitations.
JPEGFixupTagsSubsamplingSec: Warning, Auto-corrected former TIFF subsampling values [2,2] to match subsampling values inside JPEG compressed data [2,1].
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
TIFFReadDirectoryCheckOrder: Warning, Invalid TIFF directory; tags are not sorted in ascending order.
